step,loss,mean_energy,std_energy,robust_score,vol_ratio,area_min,area_max
0,-1.8480868339538574,1.8983879089355469,0.14371733367443085,1.8480868339538574,1.0000054836273193,0.25002750754356384,2.999972343444824
50,-2.0417673587799072,2.092003107070923,0.12249824404716492,2.049128770828247,1.0000908374786377,0.250013530254364,2.9999849796295166
100,-2.10294771194458,2.1593165397644043,0.11715354770421982,2.1183128356933594,1.0001152753829956,0.25000786781311035,2.9999911785125732
150,-2.1165220737457275,2.17511248588562,0.11639576405286789,2.134373903274536,1.0001102685928345,0.25000518560409546,2.9999945163726807
200,-2.120997905731201,2.180509328842163,0.11589115858078003,2.1399474143981934,1.000125527381897,0.2500036954879761,2.9999961853027344
250,-2.1265714168548584,2.1864495277404785,0.1155938059091568,2.145991802215576,1.0001188516616821,0.25000277161598206,2.999997138977051
300,-2.1328866481781006,2.192382335662842,0.11323510110378265,2.152750015258789,1.0001180171966553,0.2500022351741791,2.99999737739563
350,-2.1376516819000244,2.1971867084503174,0.11068101227283478,2.1584484577178955,1.0001146793365479,0.2500019371509552,2.999997615814209
400,-2.1389570236206055,2.19871187210083,0.11070852726697922,2.159963846206665,1.0001181364059448,0.2500016689300537,2.999997615814209
450,-2.1403703689575195,2.2002973556518555,0.1102549135684967,2.161708116531372,1.0001004934310913,0.2500014007091522,2.999998092651367
500,-2.140669584274292,2.200672149658203,0.11038608849048615,2.1620371341705322,1.0000920295715332,0.2500011920928955,2.999998092651367
